"","record_id","treatment_arm","taco_choice","meat_select","chicken_select","age","gender","county_name","state","location","dob","times_visited_chipotle_past_month","ffq_cow_freq","ffq_pig_freq","ffq_attn_freq","ffq_hen_freq","ffq_pb_freq","ffq_fish_freq","ffq_dairy_freq","ffq_eggs_freq","opted_out_all","merged_protein","other_meat_select","block_order","block_order_pre_tacos","bev_type","purpose_guess","education","ethnicity","attention_check","tortilla_type","no_toppings","has_dairy","regular_toppings","premium_toppings","political_party","time_elapsed"
"1133",1474,"2","Chicken",1,1,21,"Male","Decatur","GA11","Decatur, GA",2004,0,4,3,7,2,1,2,3,7,NA,1,0,"q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2-shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2-q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2","Pen-Shirt","Organic lemonade","Learning how t-shirt size is related to beverage preference","High school or GED","Black/African American",1,"Crispy corn tortillas",FALSE,FALSE,"White rice","No premium toppings","Republican",315
"1134",1478,"2","Chicken",1,1,35,"Female","Alcorn","MS25","Alcorn, MS",1990,1,1,4,7,1,1,1,4,1,NA,1,0,"q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2-shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2-q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2","None","Fountain drink","Learning how color preference relates to food preference","Some college or 2-year degree","Caucasian",1,"Soft flour tortillas",FALSE,TRUE,"White rice + Sour cream + Fajita veggies + Cheese + Romaine lettuce","No premium toppings","Democrat",292
"1135",1479,"3","Carnitas",1,0,55,"Male","Sacramento","CA05","Sacramento, CA",1970,0,1,1,7,4,2,3,2,1,NA,4,1,"q_pen_instruct+pen_color+pen_tip+pen_paper-q_tacos+protein_3+tortilla+topp+addons+bev-shirt_style+q_shirt_color+shirt_size+shirt_material","Pen","Organic lemonade","Learning how color preference relates to food preference","4-year college graduate","Caucasian",1,"Soft flour tortillas",FALSE,FALSE,"Brown rice + Black beans + Fresh tomato salsa + Romaine lettuce","No premium toppings","Independent",396
"1136",1482,"3","Steak",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"shirt_style+q_shirt_color+shirt_size+shirt_material-q_tacos+protein_3+tortilla+topp+addons+bev-q_pen_instruct+pen_color+pen_tip+pen_paper","Shirt","Organic watermelon limeade",NA,NA,NA,NA,"Soft flour tortillas",FALSE,TRUE,"White rice + Fresh tomato salsa + Tomatillo red chili salsa + Fajita veggies + Romaine lettuce","No premium toppings",NA,NA
"1137",1484,"3","Chicken",1,1,31,"Female","Broward","FL10","Broward, FL",1994,1,3,3,7,4,1,2,5,1,NA,1,0,"q_pen_instruct+pen_color+pen_tip+pen_paper-q_tacos+protein_3+tortilla+topp+addons+bev-shirt_style+q_shirt_color+shirt_size+shirt_material","Pen","No beverage","Learning how many color options to provide across different products","4-year college graduate","East Asian",1,"Crispy corn tortillas",FALSE,TRUE,"White rice + Fresh tomato salsa + Fajita veggies + Cheese + Romaine lettuce","No premium toppings","Democrat",197
"1138",1485,"3","Steak",1,0,30,"Male","Stanislaus","CA05","Stanislaus, CA",1995,0,3,2,3,3,1,1,4,3,NA,2,1,"q_pen_instruct+pen_color+pen_tip+pen_paper-shirt_style+q_shirt_color+shirt_size+shirt_material-q_tacos+protein_3+tortilla+topp+addons+bev","Pen-Shirt","Organic watermelon limeade","Learning whether people's shirt preferences are related to their food preferences","Some college or 2-year degree","Caucasian",NA,"Crispy corn tortillas",FALSE,TRUE,"White rice + Pinto beans + Tomatillo green chili salsa + Sour cream + Cheese","Guacamole","Independent",NA
"1139",1486,"3","Chicken",1,1,34,"Male","Richmond","NY33","Richmond, NY",1991,5,2,2,7,3,5,4,6,7,NA,1,0,"q_pen_instruct+pen_color+pen_tip+pen_paper-q_tacos+protein_3+tortilla+topp+addons+bev-shirt_style+q_shirt_color+shirt_size+shirt_material","Pen","Organic berry agua fresca","Learning how many color options to provide across different products","4-year college graduate","Black/African American",1,"Crispy corn tortillas",FALSE,TRUE,"Brown rice","Queso blanco","Republican",887
"1140",1487,"3","I would not order any of these fillings.",NA,0,23,"Female","Russell","KY18","Russell, KY",2002,0,1,2,7,7,1,2,4,1,"My preferred meal would be something vegetarian",97,0,"shirt_style+q_shirt_color+shirt_size+shirt_material-q_pen_instruct+pen_color+pen_tip+pen_paper-q_tacos+protein_3+tortilla+topp+addons+bev","Shirt-Pen","No beverage","Learning how many color options to provide across different products","High school or GED","Caucasian",97,NA,FALSE,FALSE,"","","Other",757
"1141",1490,"3","Chicken",1,1,49,"Female",NA,"AZ03",NA,1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"q_pen_instruct+pen_color+pen_tip+pen_paper-q_tacos+protein_3+tortilla+topp+addons+bev-shirt_style+q_shirt_color+shirt_size+shirt_material","Pen","Organic lemonade","Learning how many color options to provide across different products",NA,NA,NA,"Crispy corn tortillas",FALSE,TRUE,"Black beans + Roasted chili corn salsa + Fajita veggies + Cheese + Romaine lettuce","Guacamole + Queso blanco",NA,NA
"1142",1491,"1","Chicken",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1-q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1-q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1","Shirt-Pen","Organic berry agua fresca",NA,NA,NA,NA,"Crispy corn tortillas",FALSE,TRUE,"White rice + Pinto beans + Tomatillo green chili salsa + Fajita veggies","Guacamole",NA,NA
"1143",1495,"1","Carnitas",1,0,22,"Female","Harnett","NC34","Harnett, NC",2003,0,3,1,7,1,1,1,7,6,NA,4,1,"shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1-q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1-q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1","Shirt","Organic lemonade","Learning whether people's shirt preferences are related to their food preferences","Some college or 2-year degree","Multi: Caucasian + Hispanic",1,"Soft flour tortillas",FALSE,TRUE,"Cheese","Guacamole + Queso blanco","Republican",377
"1144",1497,"1","Steak",1,0,43,"Male","Hartford","CT07","Hartford, CT",1982,2,2,2,3,2,2,2,2,3,NA,2,1,"q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1-shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1-q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1","None","No beverage","Learning whether people's shirt preferences are related to their food preferences","4-year college graduate","East Asian",2,"Soft flour tortillas",FALSE,TRUE,"White rice + Fresh tomato salsa + Fajita veggies + Cheese + Romaine lettuce","No premium toppings","Independent",255
"1145",1499,"2","Steak",1,0,34,"Female","Harris","TX44","Harris, TX",1991,0,4,2,3,3,4,2,6,6,NA,2,1,"q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2-q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2-shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2","None","Organic berry agua fresca","Learning how t-shirt size is related to beverage preference","4-year college graduate","Hispanic",2,"Crispy corn tortillas",FALSE,TRUE,"Black beans + Sour cream + Fajita veggies + Cheese","Guacamole","Independent",251
"1146",1502,"2","Veggies (includes guacamole)",0,0,41,"Male","Multnomah","OR38","Multnomah, OR",1984,4,2,4,3,3,3,3,4,2,NA,7,0,"q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2-shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2-q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2","None","Apple juice","Learning whether people's shirt preferences are related to their food preferences","4-year college graduate","Caucasian",1,"Crispy corn tortillas",FALSE,TRUE,"White rice + Black beans + Tomatillo red chili salsa + Fajita veggies","Guacamole","Republican",588
"1147",1504,"3","Carnitas",1,0,37,"Female","Macomb","MI23","Macomb, MI",1988,0,3,1,3,4,1,2,6,5,NA,4,1,"shirt_style+q_shirt_color+shirt_size+shirt_material-q_pen_instruct+pen_color+pen_tip+pen_paper-q_tacos+protein_3+tortilla+topp+addons+bev","Shirt-Pen","Organic watermelon limeade","Learning how color preference relates to food preference","Some college or 2-year degree","Caucasian",4,"Soft flour tortillas",FALSE,TRUE,"Brown rice + Roasted chili corn salsa + Tomatillo red chili salsa + Fajita veggies + Cheese","Queso blanco","Republican",216
"1148",1512,"2","Chicken",1,1,29,"Male","Pima","AZ03","Pima, AZ",1996,5,2,2,7,5,1,4,4,3,NA,1,0,"shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2-q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2-q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2","Shirt","No beverage","Learning how color preference relates to food preference","4-year college graduate","Caucasian",1,"Soft flour tortillas",FALSE,TRUE,"White rice + Black beans + Tomatillo red chili salsa + Sour cream + Cheese","No premium toppings","Independent",429
"1149",1517,"1","Chicken",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1-shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1-q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1","Pen-Shirt","Apple juice",NA,NA,NA,NA,"Crispy corn tortillas",FALSE,FALSE,"Cheese","Guacamole",NA,NA
"1150",1519,"1","Steak",1,0,42,"Female","Mecklenburg","NC34","Mecklenburg, NC",1983,0,4,2,7,4,1,3,4,3,NA,2,1,"q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1-shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1-q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1","None","No beverage","Learning whether people's shirt preferences are related to their food preferences","Some college or 2-year degree","Multi: Black/African American + Hispanic",2,"Soft flour tortillas",FALSE,TRUE,"White rice + Black beans + Roasted chili corn salsa + Sour cream + Fajita veggies","Guacamole + Queso blanco","Other",744
"1151",1520,"3","Carnitas",1,0,36,"Male","Pike","PA39","Pike, PA",1989,0,2,2,7,1,3,3,4,3,NA,4,1,"q_tacos+protein_3+tortilla+topp+addons+bev-q_pen_instruct+pen_color+pen_tip+pen_paper-shirt_style+q_shirt_color+shirt_size+shirt_material","None","Organic lemonade","Learning how plant-based protein options affect the foods people choose","More than 4-year college degree","Caucasian",4,"Soft flour tortillas",FALSE,TRUE,"White rice + Tomatillo red chili salsa + Sour cream + Fajita veggies + Cheese","Guacamole","Independent",390
"1152",1522,"3","Chicken",1,1,63,NA,NA,"OH36",NA,1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"q_tacos+protein_3+tortilla+topp+addons+bev-q_pen_instruct+pen_color+pen_tip+pen_paper-shirt_style+q_shirt_color+shirt_size+shirt_material","None","No beverage","Learning whether older people are more likely to select high calorie toppings",NA,NA,NA,"Soft flour tortillas",FALSE,TRUE,"Black beans + Fresh tomato salsa + Fajita veggies","No premium toppings",NA,NA
"1153",1523,"3","Steak",1,0,36,"Male",NA,"PA39",NA,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"q_tacos+protein_3+tortilla+topp+addons+bev-shirt_style+q_shirt_color+shirt_size+shirt_material-q_pen_instruct+pen_color+pen_tip+pen_paper","None","Mexican Coca-Cola","Learning whether people's shirt preferences are related to their food preferences",NA,NA,NA,"Soft flour tortillas",FALSE,FALSE,"Brown rice","Guacamole",NA,NA
"1154",1524,"2","Steak",1,0,56,"Female","Columbia","WI50","Columbia, WI",1969,0,3,1,7,3,3,5,1,3,NA,2,1,"q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2-q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2-shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2","None","Organic mandarin agua fresca","Learning whether people's shirt preferences are related to their food preferences","4-year college graduate","Caucasian",2,"Crispy corn tortillas",FALSE,FALSE,"Tomatillo green chili salsa","","Democrat",346
"1155",1526,"2","Chicken",1,1,23,"Female",NA,"TN43",NA,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2-q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2-shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2","Pen","No beverage","Learning whether people's shirt preferences are related to their food preferences",NA,NA,NA,"Soft flour tortillas",FALSE,TRUE,"Fresh tomato salsa + Tomatillo red chili salsa + Sour cream + Fajita veggies + Cheese","No premium toppings",NA,NA
"1156",1528,"2","Chicken",1,1,49,"Male","St. Louis city","MO26","St. Louis city, MO",1976,0,3,4,3,4,1,1,7,3,NA,1,0,"shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2-q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2-q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2","Shirt","Bottled water","Learning how color preference relates to food preference","Some college or 2-year degree","Caucasian",1,"Soft flour tortillas",FALSE,TRUE,"White rice + Black beans + Sour cream + Cheese","Queso blanco","Democrat",272
"1157",1529,"2","Steak",1,0,51,"Female","Glynn","GA11","Glynn, GA",1974,0,5,4,7,3,1,1,4,2,NA,2,1,"shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2-q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2-q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2","Shirt-Pen","Fountain drink","Learning how t-shirt size is related to beverage preference","Some college or 2-year degree","Caucasian",2,"Soft flour tortillas",FALSE,TRUE,"Brown rice + Pinto beans + Sour cream + Fajita veggies + Cheese","Queso blanco","Democrat",457
"1158",1530,"2","Steak",1,0,42,"Female","Union","NJ31","Union, NJ",1983,2,3,1,7,4,2,3,4,3,NA,2,1,"q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2-q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2-shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2","Pen","Fountain drink","Learning how many color options to provide across different products","8th grade or less","Hispanic",2,"Soft flour tortillas",FALSE,TRUE,"White rice + Black beans + Fresh tomato salsa + Sour cream + Romaine lettuce","Guacamole","Prefer not to answer",524
"1159",1532,"3","Chicken",1,1,35,"Female","Orleans","LA19","Orleans, LA",1990,2,3,3,3,4,1,3,3,3,NA,1,0,"q_tacos+protein_3+tortilla+topp+addons+bev-shirt_style+q_shirt_color+shirt_size+shirt_material-q_pen_instruct+pen_color+pen_tip+pen_paper","None","No beverage","Learning whether people's shirt preferences are related to their food preferences","Some college or 2-year degree","Black/African American",1,"Soft flour tortillas",FALSE,TRUE,"Black beans + Roasted chili corn salsa + Sour cream + Fajita veggies + Cheese","Guacamole + Queso blanco","Democrat",260
"1160",1534,"3","Steak",1,0,25,"Male","Mahoning","OH36","Mahoning, OH",2000,0,3,2,7,3,1,2,3,1,NA,2,1,"q_tacos+protein_3+tortilla+topp+addons+bev-shirt_style+q_shirt_color+shirt_size+shirt_material-q_pen_instruct+pen_color+pen_tip+pen_paper","None","Bottled water","Learning how plant-based protein options affect the foods people choose","4-year college graduate","Caucasian",NA,"Soft flour tortillas",FALSE,FALSE,"White rice + Brown rice","No premium toppings","Democrat",NA
"1161",1535,"3","Chicken",1,1,23,"Male","Erie","NY33","Erie, NY",2002,2,4,1,7,3,1,3,6,6,NA,1,0,"q_tacos+protein_3+tortilla+topp+addons+bev-q_pen_instruct+pen_color+pen_tip+pen_paper-shirt_style+q_shirt_color+shirt_size+shirt_material","None","Bottled water","Learning how many color options to provide across different products","Some college or 2-year degree","Caucasian",1,"Crispy corn tortillas",FALSE,FALSE,"Brown rice + Black beans + Roasted chili corn salsa + Cheese + Romaine lettuce","Guacamole","Independent",296
"1162",1536,"3","Chicken",1,1,27,"Male","DeKalb","GA11","DeKalb, GA",1998,0,4,3,7,3,1,1,4,1,NA,1,0,"q_tacos+protein_3+tortilla+topp+addons+bev-shirt_style+q_shirt_color+shirt_size+shirt_material-q_pen_instruct+pen_color+pen_tip+pen_paper","None","Mexican Coca-Cola","Learning how color preference relates to food preference","High school or GED","Caucasian",1,"Soft flour tortillas",FALSE,TRUE,"Pinto beans + Tomatillo green chili salsa + Sour cream + Fajita veggies + Cheese","No premium toppings","Democrat",369
"1163",1538,"3","I would not order any of these fillings.",NA,0,40,"Male",NA,"TX44",NA,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,0,"shirt_style+q_shirt_color+shirt_size+shirt_material-q_tacos+protein_3+tortilla+topp+addons+bev-q_pen_instruct+pen_color+pen_tip+pen_paper","Shirt","No beverage","Learning how color preference relates to food preference",NA,NA,NA,NA,FALSE,FALSE,"","",NA,NA
"1164",1540,"3","Chicken",1,1,54,"Female","Dallas","TX44","Dallas, TX",1971,0,1,5,7,5,1,1,1,1,NA,1,0,"shirt_style+q_shirt_color+shirt_size+shirt_material-q_tacos+protein_3+tortilla+topp+addons+bev-q_pen_instruct+pen_color+pen_tip+pen_paper","Shirt","Bottled water","Learning how color preference relates to food preference","Some college or 2-year degree","Black/African American",1,"Soft flour tortillas",FALSE,FALSE,"Tomatillo red chili salsa + Romaine lettuce","","Democrat",800
"1165",1541,"3","Carnitas",1,0,56,"Male","DeKalb","GA11","DeKalb, GA",1969,0,2,1,7,3,1,3,1,1,NA,4,1,"q_tacos+protein_3+tortilla+topp+addons+bev-q_pen_instruct+pen_color+pen_tip+pen_paper-shirt_style+q_shirt_color+shirt_size+shirt_material","None","Bottled water","Learning how many color options to provide across different products","Some college or 2-year degree","Caucasian",NA,"Crispy corn tortillas",FALSE,TRUE,"Fresh tomato salsa + Tomatillo green chili salsa + Sour cream + Cheese + Romaine lettuce","Guacamole","Independent",NA
"1166",1542,"3","Carnitas",1,0,63,"Female","Worcester","MA22","Worcester, MA",1962,0,1,1,7,1,1,5,6,1,NA,4,1,"q_tacos+protein_3+tortilla+topp+addons+bev-shirt_style+q_shirt_color+shirt_size+shirt_material-q_pen_instruct+pen_color+pen_tip+pen_paper","None","Organic lemonade","Learning how plant-based protein options affect the foods people choose","4-year college graduate","Caucasian",4,"Crispy corn tortillas",FALSE,TRUE,"Fajita veggies + Cheese + Romaine lettuce","No premium toppings","Democrat",371
"1167",1544,"2","Steak",1,0,60,"Female","Chester","PA39","Chester, PA",1965,3,2,2,7,3,1,2,4,2,NA,2,1,"shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2-q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2-q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2","Shirt","Bottled water","Learning how many color options to provide across different products","4-year college graduate","Multi-ethnic",1,"Crispy corn tortillas",FALSE,TRUE,"Black beans + Tomatillo red chili salsa + Sour cream + Fajita veggies + Cheese","Guacamole","Democrat",674
"1168",1546,"3","Chicken",1,1,26,"Female","Los Angeles","CA05","Los Angeles, CA",1999,0,2,4,7,3,3,3,6,4,NA,1,0,"shirt_style+q_shirt_color+shirt_size+shirt_material-q_tacos+protein_3+tortilla+topp+addons+bev-q_pen_instruct+pen_color+pen_tip+pen_paper","Shirt","No beverage","Learning how t-shirt size is related to beverage preference","4-year college graduate","East Asian",1,"Soft flour tortillas",FALSE,FALSE,"White rice + Fresh tomato salsa + Tomatillo green chili salsa + Cheese + Romaine lettuce","No premium toppings","Republican",416
"1169",1548,"1","Beef barbacoa",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,"q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1-shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1-q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1","None","Organic lemonade",NA,NA,NA,NA,"Soft flour tortillas",FALSE,TRUE,"Fajita veggies + Cheese + Romaine lettuce","Queso blanco",NA,NA
"1170",1549,"1","Chicken",1,1,56,"Male","Harris","TX44","Harris, TX",1969,5,2,1,3,4,1,3,4,4,NA,1,0,"shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1-q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1-q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1","Shirt-Pen","Mexican Coca-Cola","Learning how color preference relates to food preference","High school or GED","Caucasian",1,"Crispy corn tortillas",FALSE,TRUE,"Fresh tomato salsa + Sour cream + Romaine lettuce","Guacamole","Democrat",473
"1171",1550,"1","Chicken",1,1,23,"Male","Martin","FL10","Martin, FL",2002,10,6,6,7,7,1,1,3,2,NA,1,0,"q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1-shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1-q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1","None","No beverage","Learning whether people's shirt preferences are related to their food preferences","4-year college graduate","Multi: Caucasian + Hispanic",1,"Soft flour tortillas",FALSE,TRUE,"White rice + Pinto beans + Roasted chili corn salsa + Fajita veggies + Cheese","No premium toppings","Democrat",399
"1172",1552,"1","Chicken",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1-q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1-q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1","Shirt","Bottled water",NA,NA,NA,NA,"No tortillas",FALSE,TRUE,"White rice + Fajita veggies + Romaine lettuce","No premium toppings",NA,NA
"1173",1557,"1","Veggies (includes guacamole)",0,0,43,"Male","Chenango","NY33","Chenango, NY",1982,3,4,4,7,3,3,2,4,3,NA,7,0,"q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1-shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1-q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1","None","Apple juice","Learning how many color options to provide across different products","More than 4-year college degree","Caucasian",1,"Soft flour tortillas",FALSE,TRUE,"White rice","Queso blanco","Republican",592
"1174",1558,"1","Carnitas",1,0,36,"Female",NA,"WA48",NA,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,"shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1-q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1-q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1","Shirt-Pen","Organic watermelon limeade","Learning how color preference relates to food preference",NA,NA,NA,"Soft flour tortillas",FALSE,TRUE,"Pinto beans + Roasted chili corn salsa + Sour cream + Cheese + Romaine lettuce","Guacamole + Queso blanco",NA,NA
"1175",1560,"1","Steak",1,0,72,"Male","Mohave","AZ03","Mohave, AZ",1953,0,4,4,7,3,1,1,5,4,NA,2,1,"q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1-q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1-shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1","None","Mexican Coca-Cola","Learning how many color options to provide across different products","Some college or 2-year degree","Caucasian",2,"Crispy corn tortillas",FALSE,TRUE,"Fresh tomato salsa + Sour cream + Cheese + Romaine lettuce","Guacamole","Independent",333
"1176",1562,"2","Chicken",1,1,41,"Female","Poweshiek","IA16","Poweshiek, IA",1984,0,5,3,7,2,1,3,5,2,NA,1,0,"q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2-q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2-shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2","Pen","Bottled water","Learning how color preference relates to food preference","Some college or 2-year degree","Caucasian",1,"Soft flour tortillas",FALSE,TRUE,"Sour cream + Cheese","Queso blanco","Democrat",326
"1177",1563,"1","Steak",1,0,40,"Male","Wyoming","NY33","Wyoming, NY",1985,2,3,4,3,4,4,2,3,3,NA,2,1,"q_tacos_1+protein_1+tortilla_1+topp_1+addons_1+bev_1-shirt_style_1+q_shirt_color_1+shirt_size_1+shirt_material_1-q_pen_instruct_1+pen_color_1+pen_tip_1+pen_paper_1","None","Organic mandarin agua fresca","Learning whether older people are more likely to select high calorie toppings","4-year college graduate","Black/African American",NA,"Crispy corn tortillas",FALSE,TRUE,"White rice + Black beans + Pinto beans + Sour cream","Guacamole","Democrat",NA
"1178",1565,"3","Steak",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"q_tacos+protein_3+tortilla+topp+addons+bev-shirt_style+q_shirt_color+shirt_size+shirt_material-q_pen_instruct+pen_color+pen_tip+pen_paper","None","Mexican Coca-Cola",NA,NA,NA,NA,"Soft flour tortillas",FALSE,FALSE,"Brown rice + Pinto beans + Tomatillo green chili salsa + Cheese + Romaine lettuce","Guacamole",NA,NA
"1179",1566,"3","Steak",1,0,43,"Male","Chippewa","WI50","Chippewa, WI",1982,0,4,3,3,3,1,1,4,1,NA,2,1,"q_tacos+protein_3+tortilla+topp+addons+bev-q_pen_instruct+pen_color+pen_tip+pen_paper-shirt_style+q_shirt_color+shirt_size+shirt_material","None","Fountain drink","Learning how color preference relates to food preference","More than 4-year college degree","Caucasian",2,"Soft flour tortillas",FALSE,TRUE,"White rice + Black beans + Fresh tomato salsa + Sour cream + Cheese","No premium toppings","Republican",413
"1180",1572,"2","Beef barbacoa",1,0,47,"Male","Shelby","AL01","Shelby, AL",1978,0,3,4,7,4,1,2,6,6,NA,3,1,"shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2-q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2-q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2","Shirt","Bottled water","Learning whether people's shirt preferences are related to their food preferences","4-year college graduate","Caucasian",3,"Soft flour tortillas",FALSE,TRUE,"Tomatillo red chili salsa + Sour cream + Cheese","Queso blanco","Democrat",368
"1181",1573,"2","Chicken",1,1,64,"Male","Allegheny","PA39","Allegheny, PA",1961,0,2,5,3,4,2,1,6,3,NA,1,0,"q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2-q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2-shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2","Pen","Bottled water","Learning how many color options to provide across different products","More than 4-year college degree","Caucasian",1,"Soft flour tortillas",FALSE,TRUE,"Fresh tomato salsa","Queso blanco","Democrat",997
"1182",1574,"2","Chicken",1,1,26,"Female","Sangamon","IL14","Sangamon, IL",1999,15,5,4,3,5,1,2,3,3,NA,1,0,"shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2-q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2-q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2","Shirt","San Pellegrino sparkling","Learning whether people's shirt preferences are related to their food preferences","Some college or 2-year degree","Black/African American",1,"Soft flour tortillas",FALSE,FALSE,"White rice","Guacamole","Independent",484
"1183",1575,"2","Beef barbacoa",1,0,65,"Male","Philadelphia","PA39","Philadelphia, PA",1960,1,4,3,3,3,1,2,4,4,NA,3,1,"shirt_style_2+q_shirt_color_2+shirt_size_2+shirt_material_2-q_tacos_2+protein_2+tortilla_2+topp_2+addons_2+bev_2-q_pen_instruct_2+pen_color_2+pen_tip_2+pen_paper_2","Shirt","Fountain drink","Learning how color preference relates to food preference","High school or GED","Black/African American",3,"Soft flour tortillas",FALSE,TRUE,"Fresh tomato salsa + Tomatillo red chili salsa + Sour cream + Cheese","No premium toppings","Democrat",589
